Date,Time,Venue,City,State,Address,Phone,Url
2014/12/31,10:00pm,Wild Wing Cafe – Brier Creek,Raleigh, NC,7900 Brier Creek Parkway.,(919) 957-2000,http://www.wildwingcafe.com/locations
2015/01/24,9:30pm,Cleveland Draft House,Garner, NC,6101 NC Hwy 42 West,(919)771-2337,http://www.clevelanddrafthouse.com/index.html
2015/01/31,10:00pm,Wild Wing Cafe – Brier Creek,Raleigh, NC,7900 Brier Creek Parkway.,(919) 957-2000,http://www.wildwingcafe.com/locations
2015/02/06,10:30pm,The Oxford Pub,Raleigh, NC,319-105 Fayetteville St.,9198326622,http://www.oxfordraleigh.com/
2015/02/13,9:30pm,Locked & Loaded,Garner, NC,305 McCormick St.,,http://www.llgrill.com/
2015/03/7,9:30pm,Break Time Billiards,Cary, NC,6442 Tryon Road,(919) 615-0107,http://www.breaktimecary.com/
2015/03/14,10:00pm,Wild Wing Cafe – Brier Creek,Raleigh, NC,7900 Brier Creek Parkway.,(919) 957-2000,http://www.wildwingcafe.com/locations
2015/03/27,10:30pm,The Oxford Pub,Raleigh, NC,319-105 Fayetteville St.,9198326622,http://www.oxfordraleigh.com/
2015/04/10,10:00pm,42nd St. Oyster Bar,Raleigh, NC,508 W. Jones Rd.,919-831-2811,http://www.42ndstoysterbar.com/
2015/04/24,10:30pm,The Oxford Pub,Raleigh, NC,319-105 Fayetteville St.,9198326622,http://www.oxfordraleigh.com/
2015/06/26,9:30pm,Clayton Draft House,Clayton, NC,Off Shotwell and Hwy 70,http://www.clevelanddrafthouse.com/index.html
2015/10/03,10:00pm,Cleveland Draft House,Garner, NC,6101 NC Hwy 42 West,(919)771-2337,http://www.clevelanddrafthouse.com/index.html
2015/12/18,9:30pm,Clayton Draft House,Clayton, NC,Off Shotwell and Hwy 70,http://www.clevelanddrafthouse.com/index.html
